name,type,ra,dec
,star,1.321488,50.804317
,star,1.321784,59.04663
,star,1.321835,-34.490507
,star,1.322334,-53.636366
,star,1.322456,-76.149016
,star,1.322537,48.958093
,star,1.322942,-23.107667
,star,1.323372,18.137769
,star,1.323416,3.289691
,star,1.323485,57.274019
,star,1.323535,14.793043
,star,1.323794,56.32917
,star,1.324047,24.40315
,star,1.324443,27.264059
,star,1.324511,20.868602
,star,1.324531,8.396376
,star,1.324645,-66.798004
,star,1.32474,-24.951209
,star,1.324818,80.894213
,star,1.325249,-10.676485
,star,1.325294,-48.294633
,star,1.325364,-38.961367
,star,1.325464,-0.589028
,star,1.32551,-4.909941
,star,1.325527,34.495819
,star,1.325815,7.490746
,star,1.325943,-39.362599
,star,1.326094,-47.292326
,star,1.326519,34.752842
,star,1.326664,32.294896
,star,1.326838,-39.190129
,star,1.326982,-5.325263
,star,1.327653,10.957676
,star,1.327769,-56.616349
,star,1.327926,-42.566988
,star,1.328121,-28.861976
,star,1.328569,0.105785
,star,1.328558,12.145797
,star,1.328591,-71.802776
,star,1.328812,21.273596
,star,1.329078,6.161897
,star,1.329251,-68.8982
,star,1.329272,-28.233834
,star,1.329315,-58.294601
,star,1.329897,67.202336
,star,1.330024,-21.454028
,star,1.330082,-0.509029
,star,1.3305,-17.03814
,star,1.330506,-14.913772
,star,1.331038,58.208143
,star,1.331391,43.210559
,star,1.331561,58.308539
,star,1.332136,-59.613625
,star,1.332382,-31.386541
,star,1.332712,-15.814317
,star,1.332858,-57.349158
,star,1.333725,-0.823411
,star,1.334164,-9.883786
,star,1.334209,52.666117
,star,1.334307,38.990427
,star,1.334554,36.630926
,star,1.334696,41.970526
,star,1.334699,58.231611
,star,1.334791,-20.470885
,star,1.334943,-24.177277
,star,1.335471,69.099179
,star,1.335593,-2.490855
,star,1.335616,43.952614
,star,1.33597,39.093516
,star,1.336338,34.96985
,star,1.3366,52.131422
,star,1.336719,11.778523
,star,1.336801,31.666375
,star,1.336833,-60.07425
,star,1.337183,-43.915935
,star,1.337252,35.122101
,star,1.337311,-72.749287
,star,1.33771,-52.651308
,star,1.337715,-36.242905
,star,1.338336,43.510174
,star,1.338436,37.672356
,star,1.338733,77.570682
,star,1.338841,2.48768
,star,1.338859,-48.676429
,star,1.339091,-48.681732
,star,1.339186,18.12239
,star,1.33939,-68.069688
,star,1.339605,-28.986893
,star,1.339633,9.523322
,star,1.340161,-29.599896
,star,1.340178,51.833302
,star,1.341071,-57.338517
,star,1.341058,-11.238999
,star,1.341683,-19.949014
,star,1.342181,-61.317343
,star,1.34224,-26.748444
,star,1.342296,-11.467706
,star,1.342345,9.138457
,star,1.342487,38.333032
,star,1.342608,36.408304
,star,1.342659,-29.808232
,star,1.342786,-81.016725
,star,1.342891,-49.563874
,star,1.342937,-3.24699
,star,1.343567,-16.188083
,star,1.343607,54.96235
,star,1.343641,-8.414578
,star,1.344601,51.594779
,star,1.344625,-13.889976
,star,1.344692,57.327911
,star,1.34475,15.696039
,star,1.345399,46.343406
,star,1.345621,46.338479
,star,1.346085,-25.103833
,star,1.346485,47.060504
,star,1.346639,56.20726
,star,1.34683,65.084088
,star,1.346841,18.214623
,star,1.346956,11.457984
,star,1.347464,19.622808
,star,1.347815,60.948916
,star,1.347879,21.72868
,star,1.34808,-1.310586
,star,1.349209,61.136723
,star,1.349919,-38.526542
,star,1.350154,-12.742918
,star,1.350944,51.983669
,star,1.350988,7.606007
,star,1.351016,25.158377
,star,1.351093,38.034206
,star,1.351114,-54.958296
,star,1.35121,54.62871
,star,1.35145,64.658131
,star,1.351686,-35.608221
,star,1.351763,43.233838
,star,1.352047,28.738207
,star,1.352042,18.314947
,star,1.352322,-40.232636
,star,1.352417,-23.571803
,star,1.352558,-36.89964
,star,1.352615,-62.982044
,star,1.352653,-49.640899
,star,1.352774,-47.531067
,star,1.352808,6.346769
,star,1.353054,13.870868
,star,1.353281,85.132129
,star,1.353983,-66.104391
,star,1.35416,22.374685
,star,1.354421,-73.033724
,star,1.354627,28.807092
,star,1.354841,-15.347056
,star,1.354866,-6.159522
,star,1.354972,6.970804
,star,1.355115,-49.741541
,star,1.35535,11.536746
,star,1.356661,-28.793935
,star,1.356836,-50.936935
,star,1.357025,-8.001389
,star,1.357299,19.019496
,star,1.357739,30.634038
,star,1.357829,31.341424
,star,1.358006,40.958136
,star,1.358156,24.330563
,star,1.358165,-40.971471
,star,1.358366,80.151797
,star,1.358468,-56.135199
,star,1.358696,74.580266
,star,1.358798,-16.483166
,star,1.358934,-45.137389
,star,1.359114,48.079927
,star,1.359152,-29.13131
,star,1.359541,-41.656403
,star,1.359577,-25.466716
,star,1.359708,-11.58235
,star,1.359967,24.823015
,star,1.360331,-17.879482
,star,1.360555,4.257466
,star,1.360793,45.215968
,star,1.360849,-33.232424
,star,1.361294,51.096445
,star,1.361613,-3.436822
,star,1.361866,-26.667929
,star,1.362182,32.639614
,star,1.36224,9.706002
,star,1.362313,-52.076511
,star,1.362616,-46.714379
,star,1.362934,69.236452
,star,1.362952,-24.127954
,star,1.363455,-1.997041
,star,1.363571,-66.384128
,star,1.364423,-22.50275
,star,1.364429,50.121984
,star,1.364585,8.549771
,star,1.364945,16.383427
,star,1.365536,47.282356
,star,1.365874,-57.977006
,star,1.366193,12.604167
,star,1.366291,-69.71877
,star,1.366383,76.238804
,star,1.366439,76.710284
,star,1.366587,15.177113
,star,1.366554,48.491676
,star,1.367187,70.404779
,star,1.367239,-84.065105
,star,1.367356,15.789214
,star,1.367374,79.025234
,star,1.367384,-27.233873
,star,1.367855,-55.240577
,star,1.368272,-21.533959
,star,1.368697,-4.564356
,star,1.368783,-26.893103
,star,1.368875,-13.074294
,star,1.368864,33.511178
,star,1.369235,-37.051577
,star,1.369274,-52.231192
,star,1.369319,-59.126444
,star,1.369391,-24.366116
,star,1.369553,-46.221535
,star,1.369709,42.128841
,star,1.369822,58.289572
,star,1.369858,31.706032
,star,1.370163,43.584116
,star,1.37031,14.340705
,star,1.370699,-33.585794
,star,1.371232,-12.268606
,star,1.371627,18.682704
,star,1.371713,30.993503
,star,1.371867,3.513099
,star,1.371941,-56.731449
,star,1.372025,-19.578682
,star,1.372119,-31.422256
Adhil,star,1.372337,45.528778
,star,1.372544,-61.329419
,star,1.372851,16.825657
,star,1.373063,-33.21423
,star,1.373009,-47.294897
,star,1.373174,5.251383
,star,1.373379,29.91332
,star,1.373408,-43.602558
,star,1.373579,-7.286941
,star,1.373611,80.129371
,star,1.374054,-32.29882
,star,1.374129,-47.709728
,star,1.374333,-10.605893
,star,1.374349,-61.003121
,star,1.374356,-18.807067
,star,1.374454,-34.664626
,star,1.375134,-19.081208
,star,1.376129,-3.800306
,star,1.376342,-0.449673
,star,1.376714,-4.936701
,star,1.376832,12.750949
,star,1.376931,1.726332
,star,1.377098,-34.99204
,star,1.377108,26.562676
,star,1.377589,56.60956
,star,1.377746,68.565396
,star,1.37806,17.076194
,star,1.378286,42.071223
,star,1.378625,-36.596526
,star,1.378641,17.197046
,star,1.37874,4.738241
,star,1.378738,10.369538
,star,1.378955,-21.426265
,star,1.379223,-28.512701
,star,1.379675,-30.62824
,star,1.379988,-69.080124
,star,1.380197,83.809271
,star,1.380637,0.712054
,star,1.380904,-60.873885
,star,1.381456,-20.736403
,star,1.381556,11.366504
,star,1.381769,-69.308445
,star,1.382344,31.841192
,star,1.382432,7.41926
,star,1.383577,-16.487462
,star,1.384065,-12.966069
,star,1.384019,-37.702379
,star,1.384059,-16.560312
,star,1.384662,2.622703
,star,1.384742,-21.127172
,star,1.385075,-54.183434
,star,1.385224,9.187626
,star,1.385514,-24.998079
,star,1.385836,16.301713
,star,1.386159,53.472746
,star,1.386646,-14.113116
,star,1.386699,33.2899
,star,1.386885,20.561812
,star,1.386908,40.610448
,star,1.386995,-43.150177
,star,1.387075,49.538446
,star,1.387591,24.519822
,star,1.387634,55.600623
,star,1.387699,52.737438
,star,1.387965,-44.671586
,star,1.387997,61.721551
,star,1.388103,-33.548023
,star,1.388171,-31.258619
,star,1.388197,-33.482863
,star,1.388358,36.514632
,star,1.38836,45.332891
,star,1.388389,-42.413119
,star,1.38854,-66.172474
,star,1.388638,10.842671
,star,1.389224,-57.480748
,star,1.389264,58.142994
,star,1.389302,-17.933928
,star,1.389563,-27.214675
,star,1.389669,14.270817
,star,1.389898,6.740862
,star,1.390078,-20.319932
,star,1.390264,20.468967
,star,1.390385,62.618194
,star,1.390465,-76.611783
,star,1.390506,-67.983021
,star,1.390548,52.806999
,star,1.390552,-14.206921
,star,1.391254,46.890637
,star,1.391571,-11.711386
,star,1.391703,69.644227
,star,1.391732,-13.924235
,star,1.391933,-30.945617
,star,1.392237,22.95708
,star,1.392238,-53.967264
,star,1.392488,-35.319314
,star,1.392508,-16.222164
,star,1.393037,-24.352764
,star,1.393267,-63.365596
,star,1.39366,1.901733
,star,1.393674,-41.269801
,star,1.393684,-10.738498
,star,1.393735,34.245887
,star,1.394496,8.189311
,star,1.394612,37.714943
,star,1.394642,-40.956056
,star,1.394835,3.314735
,star,1.394854,-27.876185
,star,1.394989,-79.211966
,star,1.395089,-26.191954
,star,1.396224,48.376151
,star,1.396337,78.726056
,star,1.396354,6.49907
,star,1.396461,-24.05886
,star,1.396571,-10.721006
,star,1.397224,5.310699
,star,1.397229,60.901284
,star,1.397463,17.818344
,star,1.397445,-5.819014
,star,1.397764,25.924936
,star,1.398176,10.247756
,star,1.39911,-60.628964
,star,1.399459,-78.06792
,star,1.399542,39.924266
,star,1.400113,-72.324405
,star,1.400268,15.305294
,star,1.400301,-37.599709
,star,1.40039,-8.183257
,star,1.400587,19.839676
,star,1.400648,59.734807
,star,1.400705,-8.007416
,star,1.400939,-9.812034
,star,1.400973,54.359079
,star,1.40153,71.312893
,star,1.401746,-22.77108
,star,1.401837,-49.51665
,star,1.402049,-52.511431
,star,1.40226,72.847106
,star,1.40326,51.173504
,star,1.403337,-21.941841
,star,1.403362,37.528198
,star,1.403413,-31.811963
,star,1.403385,-70.675336
,star,1.4035,48.287795
,star,1.403804,21.858009
,star,1.404223,-61.837396
,star,1.404221,4.434422
,star,1.404518,-62.446892
,star,1.40459,12.907533
,star,1.405072,63.949889
,star,1.405188,43.142097
,star,1.405376,-19.534942
,star,1.405584,58.946434
,star,1.405601,-38.917167
,star,1.405695,-6.914656
,star,1.405754,-2.472
,star,1.406157,-44.136289
,star,1.406224,-28.049769
,star,1.406556,36.88348
,star,1.406845,-28.497737
,star,1.406997,8.437252
,star,1.407014,57.198238
,star,1.407053,6.4843
,star,1.407482,29.841668
,star,1.407522,50.489252
,star,1.407768,39.062062
,star,1.40842,-12.56988
,star,1.408536,22.038245
,star,1.408572,39.025046
,star,1.408844,50.803303
,star,1.408932,-25.319702
,star,1.408949,53.193213
,star,1.409099,-42.42572
,star,1.409177,53.186154
,star,1.409427,-45.721271
,star,1.409884,-18.221725
,star,1.410502,-31.550489
,star,1.410658,-10.614505
,star,1.411034,43.169636
,star,1.411092,-15.660468
,star,1.411122,-21.095249
,star,1.411197,-34.139963
,star,1.411329,-41.492549
,star,1.411432,-0.970236
,star,1.411524,33.025822
,star,1.411644,-44.528575
,star,1.411898,64.600021
,star,1.411926,36.063905
,star,1.412213,71.569961
,star,1.412637,-39.907492
,star,1.412813,56.200384
,star,1.413011,20.158839
,star,1.413373,28.85696
,star,1.413501,39.418593
,star,1.413508,-10.430232
,star,1.413522,-2.84859
,star,1.413577,-6.985988
,star,1.413662,-27.839045
,star,1.413716,-26.260849
,star,1.413907,-42.764429
,star,1.414231,-24.529331
,star,1.414761,54.911706
,star,1.414847,-50.808078
,star,1.414979,18.49993
,star,1.41516,3.349414
,star,1.415315,-39.921818
,star,1.415593,-62.480384
,star,1.416192,47.168897
,star,1.416291,63.881892
,star,1.416313,-79.89373
,star,1.416397,37.454913
,star,1.416474,6.258543
,star,1.416605,-63.961163
,star,1.416616,-24.50541
,star,1.416829,-5.946428
,star,1.416899,37.70349
,star,1.417163,-32.851121
,star,1.417346,-34.205231
,star,1.417483,-45.611493
,star,1.417638,0.269052
,star,1.417809,3.070675
,star,1.418136,-64.369478
,star,1.418326,54.390718
,star,1.41854,45.608558
,star,1.418734,-39.378322
,star,1.418846,60.558397
,star,1.418978,35.73315
,star,1.419059,58.245381
,star,1.419097,5.454872
,star,1.419302,-1.059682
,star,1.419954,-79.896067
,star,1.420011,22.967292
,star,1.420067,20.015973
Bélénos,star,1.420138,28.566693
,star,1.420211,-16.910919
,star,1.421144,61.709391
,star,1.421562,-13.657872
,star,1.421728,-14.994139
,star,1.421943,20.349566
,star,1.421976,16.257056
,star,1.422096,51.68279
,star,1.422189,-59.498658
,star,1.422197,-59.491604
,star,1.422252,1.460854
,star,1.422273,-5.028439
,star,1.422472,-51.276438
,star,1.422596,-12.145005
,star,1.423536,-80.870396
,star,1.42362,38.778026
,star,1.424348,-28.782226
,star,1.424539,12.155713
,star,1.424596,74.115296
,star,1.424713,-53.544656
,star,1.425176,41.352437
,star,1.425256,-26.457695
,star,1.425461,63.593793
,star,1.425726,-57.140818
,star,1.425883,54.95663
,star,1.426184,31.550414
,star,1.426577,23.511519
,star,1.427009,-14.598796
,star,1.427046,45.133355
,star,1.427155,-38.182096
,star,1.427199,-13.388921
,star,1.427293,-24.691982
,star,1.427371,31.546165
,star,1.427472,-65.565498
,star,1.427753,-67.415591
,star,1.42779,26.878087
,star,1.427962,2.972054
,star,1.428014,47.118531
,star,1.428148,55.974283
,star,1.428203,44.78654
,star,1.428669,36.357288
,star,1.428933,-59.334616
,star,1.42953,70.979887
Ruchbah,star,1.430216,60.235283
,star,1.431212,-3.927391
,star,1.431501,-27.06123
,star,1.431831,49.230711
,star,1.431993,-8.504394
,star,1.432167,-35.750909
,star,1.432208,68.130012
,star,1.432254,-47.898873
,star,1.432596,13.248212
,star,1.432844,10.406975
,star,1.433491,-45.893547
,star,1.433905,52.388749
,star,1.434277,-17.31016
,star,1.434724,-22.79838
,star,1.435066,-2.200951
,star,1.435205,50.255383
,star,1.435765,34.5797
,star,1.435934,-67.842505
,star,1.43697,-38.469094
,star,1.43713,13.816194
,star,1.437573,19.172346
,star,1.437923,-13.893611
,star,1.437976,-75.345764
,star,1.438018,42.311239
,star,1.43822,17.126423
,star,1.438517,43.457739
,star,1.438669,-4.674109
,star,1.438829,47.713692
,star,1.439887,20.070804
,star,1.440334,-0.444132
,star,1.440576,-16.528192
,star,1.44093,-0.399034
,star,1.441239,77.678721
,star,1.441325,-32.551942
,star,1.44134,9.531106
,star,1.441369,-30.275606
,star,1.441981,18.203055
,star,1.442284,-49.721208
,star,1.442302,13.959175
,star,1.442307,53.130049
,star,1.442988,-65.775022
,star,1.444013,-6.338523
,star,1.444436,-54.926983
,star,1.444614,69.250324
,star,1.444767,11.381843
,star,1.444794,7.43733
,star,1.44491,19.240422
,star,1.445303,43.691874
,star,1.445351,62.875548
,star,1.445493,-40.483231
,star,1.445494,27.246568
,star,1.445553,70.387294
,star,1.445717,8.603591
,star,1.445982,-34.161194
,star,1.446483,-8.587067
,star,1.446554,23.310226
,star,1.446858,-36.38246
,star,1.446954,67.068922
,star,1.447012,-29.474967
,star,1.447299,45.677448
,star,1.447424,-19.642445
,star,1.447579,57.436952
,star,1.447657,-13.056512
,star,1.448004,-49.262055
,star,1.448098,1.297652
,star,1.448209,3.535644
,star,1.44828,37.492209
,star,1.448309,37.296658
,star,1.448362,27.507136
,star,1.449059,-62.966226
,star,1.449187,-51.520367
,star,1.449367,-74.739134
,star,1.449403,-30.960751
,star,1.449461,-41.747414
,star,1.449471,-32.543182
,star,1.449594,-30.969704
,star,1.450361,-6.34902
,star,1.45043,-0.157588
,star,1.45045,11.367254
,star,1.450515,-64.579727
,star,1.450639,-23.305812
,star,1.450682,34.639034
,star,1.450671,-55.081822
,star,1.450911,-20.491518
,star,1.451251,-55.686095
,star,1.451346,-30.235909
,star,1.451574,-51.965774
,star,1.451547,25.439748
,star,1.451591,66.974226
,star,1.451641,57.721806
,star,1.451752,34.377552
,star,1.452161,2.129448
,star,1.45233,41.186412
,star,1.452536,64.710893
,star,1.452853,-56.430385
,star,1.453694,-41.248531
,star,1.453984,39.654362
,star,1.454619,3.805385
,star,1.455095,65.772797
,star,1.455595,46.970118
,star,1.455695,29.770965
,star,1.45598,49.537546
,star,1.456051,6.962394
,star,1.456475,-22.338232
,star,1.456608,0.057731
,star,1.456988,-20.351805
,star,1.457074,6.415917
,star,1.457311,60.284479
,star,1.457409,41.101158
,star,1.45756,-25.936907
,star,1.457665,23.244564
,star,1.45786,-9.297151
,star,1.45799,-7.344577
,star,1.458151,-45.84619
,star,1.458185,4.461954
,star,1.458311,30.511684
,star,1.458505,-43.934266
,star,1.459139,16.787823
,star,1.459562,-52.044684
,star,1.459625,3.877636
,star,1.459795,-46.151682
,star,1.459847,-24.94391
,star,1.460078,21.708155
,star,1.460273,51.808833
,star,1.46044,-48.502894
,star,1.460477,66.076966
,star,1.460825,-71.704106
,star,1.460915,45.406687
,star,1.46094,31.100438
,star,1.461057,5.352787
,star,1.46144,-39.142311
,star,1.461778,35.401742
,star,1.461866,9.880789
,star,1.461867,31.966549
,star,1.462398,62.773421
,star,1.462477,-75.043501
,star,1.462928,-10.901582
,star,1.463024,40.335803
,star,1.463056,-70.8573
,star,1.463408,-28.894892
,star,1.463619,-4.468392
,star,1.463647,-37.668101
,star,1.464357,-79.040569
,star,1.46458,48.611349
,star,1.465108,25.681965
,star,1.465243,59.235809
,star,1.465377,-3.573387
,star,1.465434,-1.991493
,star,1.465812,12.438519
,star,1.466512,-22.036935
,star,1.466684,-44.603484
,star,1.466835,15.988261
,star,1.466849,-57.785315
,star,1.466939,51.001515
,star,1.466978,-2.035341
,star,1.467,61.324993
,star,1.467231,-27.109336
,star,1.467407,-20.433694
,star,1.467543,63.282548
,star,1.467624,-19.807311
,star,1.467898,-10.037756
,star,1.468077,-17.262869
,star,1.46824,43.877457
,star,1.468291,-17.261525
,star,1.468517,47.752548
,star,1.468623,-45.075617
,star,1.46861,42.466958
,star,1.468659,-21.557751
,star,1.468695,-28.051253
,star,1.468884,37.603004
,star,1.469061,-52.638652
,star,1.469935,-18.06212
,star,1.470104,44.049245
,star,1.471137,-12.24604
,star,1.471909,14.476474
,star,1.471911,-49.005833
,star,1.471983,30.557694
,star,1.472028,56.698382
,star,1.472026,42.782226
,star,1.472331,-36.076608
,star,1.472654,-31.49575
,star,1.472759,-43.318234
,star,1.473032,7.961353
,star,1.473433,17.079259
,star,1.473508,-15.907642
,star,1.473779,57.822017
,star,1.473839,37.070607
,star,1.474304,7.958192
,star,1.474621,48.320355
,star,1.474755,-70.127774
,star,1.474863,-23.463079
,star,1.476149,-37.959557
,star,1.476208,42.267688
,star,1.476586,-77.296721
,star,1.476799,-11.532501
,star,1.476986,-24.195738
,star,1.477001,45.152123
,star,1.477678,-53.365081
,star,1.477833,-1.054722
,star,1.477917,-17.032388
,star,1.478255,-68.175116
,star,1.478449,45.633718
,star,1.478749,-33.763972
,star,1.47894,51.884111
,star,1.479042,31.611232
,star,1.479036,-13.634771
,star,1.479176,-30.408564
,star,1.479265,65.34168
,star,1.479583,-24.340399
,star,1.479784,-26.549912
,star,1.479874,-22.474278
,star,1.479972,-24.797923
,star,1.47998,19.809111
,star,1.480483,-36.83309
,star,1.480495,13.836991
,star,1.481369,-23.825019
,star,1.481384,35.772166
,star,1.481391,-25.131173
,star,1.481516,55.278974
,star,1.482031,-32.039756
,star,1.482063,12.469427
,star,1.482188,-14.03263
,star,1.48232,34.917144
,star,1.482632,-17.937354
,star,1.483521,-61.082692
,star,1.483546,51.686132
,star,1.483677,86.933092
,star,1.483734,-5.700919
,star,1.483829,74.205035
,star,1.484194,7.29409
,star,1.484328,-82.039169
,star,1.484688,21.723166
,star,1.484754,-67.485809
,star,1.484849,10.43221
,star,1.485135,-6.847929
,star,1.485473,-33.735308
,star,1.48544,3.785309
,star,1.486509,56.070219
,star,1.486757,-17.233279
,star,1.486902,36.627783
,star,1.486923,-11.617108
,star,1.487586,60.035665
,star,1.487735,-40.852263
,star,1.488037,25.024258
,star,1.488243,36.683728
,star,1.48845,-41.832379
,star,1.488656,54.358712
,star,1.488738,-3.196721
,star,1.489055,61.761675
,star,1.489525,-47.939636
,star,1.489612,-35.398589
,star,1.489705,20.48167
,star,1.489776,34.089931
,star,1.489869,25.275352
,star,1.490051,-55.587287
,star,1.490289,12.388974
,star,1.490592,-33.320483
,star,1.490673,42.2819
,star,1.49067,-15.161283
,star,1.490739,49.160613
,star,1.490748,-43.156592
,star,1.490873,21.022777
,star,1.491015,30.894517
,star,1.49128,-51.501876
,star,1.491483,29.543386
,star,1.491752,-16.134864
,star,1.491816,-46.756422
,star,1.491952,-32.024006
,star,1.492037,8.380415
,star,1.492155,-50.435923
,star,1.492278,-13.155424
,star,1.492288,-9.489087
,star,1.492429,-52.366133
,star,1.493054,-19.819878
,star,1.49337,-21.629339
,star,1.493407,18.929202
,star,1.493626,-52.497258
,star,1.494133,-61.222101
,star,1.494418,-8.782931
,star,1.494736,-13.223832
,star,1.494777,-30.046189
,star,1.494771,22.826193
,star,1.494906,-4.103957
,star,1.495091,17.098966
,star,1.495186,24.228362
,star,1.495226,-25.617749
,star,1.495598,8.44319
,star,1.496167,-40.84606
,star,1.496308,65.171065
,star,1.496849,23.690441
,star,1.497054,-41.188161
,star,1.497143,73.737828
,star,1.497595,31.007335
,star,1.4976,60.251264
,star,1.497722,-54.156332
,star,1.498017,18.355669
,star,1.498087,42.627804
,star,1.49818,14.209615
,star,1.498248,-5.595894
,star,1.498315,58.762465
,star,1.498698,53.502582
,star,1.498849,-10.565044
,star,1.499282,-33.050333
,star,1.499548,-15.72893
,star,1.499969,-22.524229
,star,1.500034,-60.409326
,star,1.500058,-42.848108
,star,1.500278,-19.604502
,star,1.50037,-26.97148
,star,1.500428,46.974137
,star,1.500642,-36.424866
,star,1.501329,27.705109
,star,1.501595,30.150567
,star,1.501695,47.007274
,star,1.50171,49.942258
,star,1.501909,22.348353
,star,1.502023,53.347871
,star,1.502062,29.508758
,star,1.502266,28.495227
,star,1.502404,-0.321822
,star,1.503012,-25.322715
,star,1.503087,6.14382
,star,1.503852,-28.865434
,star,1.504225,-73.173808
,star,1.504296,41.725521
,star,1.504591,12.649391
,star,1.504797,33.128939
,star,1.505083,59.782049
,star,1.505201,11.090899
,star,1.505396,-52.493562
,star,1.506362,-26.207851
,star,1.506948,-40.65951
,star,1.506935,-29.258875
,star,1.506954,66.240358
,star,1.507429,32.187781
,star,1.507799,-17.566486
,star,1.508094,2.9712
,star,1.508481,-14.073332
,star,1.508567,-42.706909
,star,1.508729,1.358992
,star,1.508851,-23.243772
,star,1.509269,-75.23207
,star,1.509403,-0.83795
,star,1.50943,5.371054
,star,1.509892,-65.117358
,star,1.509908,-10.841725
,star,1.509941,-12.975931
,star,1.510158,38.779388
,star,1.510876,25.914959
,star,1.511151,26.349284
,star,1.512328,-37.789469
,star,1.512322,50.665792
,star,1.512462,-8.069274
,star,1.512474,78.634988
,star,1.512811,-59.659439
,star,1.512912,9.755787
,star,1.513064,15.021617
,star,1.513569,14.791483
,star,1.51368,51.543577
,star,1.51389,-31.460814
,star,1.51394,5.973542
,star,1.513981,-35.681178
,star,1.514052,23.176531
,star,1.514184,26.479712
,star,1.51446,66.098087
,star,1.51475,34.173904
,star,1.514807,24.535911
,star,1.51512,15.564957
,star,1.515124,2.221256
,star,1.516001,4.543463
,star,1.516002,-62.65275
,star,1.516302,-48.871302
,star,1.516371,49.343223
,star,1.516601,-4.959681
,star,1.517093,-51.215432
,star,1.517205,72.877939
,star,1.517231,-66.496649
,star,1.517247,-47.264268
,star,1.517354,39.494613
,star,1.517376,59.737198
,star,1.517384,71.129932
,star,1.51806,43.620737
,star,1.518438,-38.787082
,star,1.518474,6.619484
,star,1.518983,-5.543266
,star,1.519119,7.695799
,star,1.519177,-46.392113
,star,1.519215,-31.300892
,star,1.51922,39.39026
,star,1.519639,-7.032822
,star,1.519737,-9.312236
,star,1.520303,-24.603232
,star,1.520444,70.264604
,star,1.520461,40.198511
,star,1.520541,-10.896542
,star,1.520551,17.152077
,star,1.520851,-49.072702
,star,1.520877,-65.118431
,star,1.520961,-28.100169
,star,1.52111,-2.333165
,star,1.521257,-49.904002
,star,1.521351,-38.429625
,star,1.521664,63.347575
,star,1.521865,-17.68539
,star,1.522086,29.413089
,star,1.52277,-58.719893
,star,1.523307,58.180637
,star,1.523378,-31.891498
,star,1.523853,-55.968121
,star,1.523975,38.767123
,star,1.524681,-29.066133
Alpherg,star,1.524725,15.345823
,star,1.52487,-74.611345
,star,1.524887,-44.65609
,star,1.524967,-29.984984
,star,1.525216,-69.281669
,star,1.525243,-9.7016
,star,1.52544,59.768762
,star,1.52573,-43.846566
,star,1.525972,-16.770903
,star,1.526024,-59.592535
,star,1.526059,-69.992576
,star,1.526101,-19.022985
,star,1.526386,-13.690102
,star,1.526484,-53.369413
,star,1.526479,-34.150304
,star,1.526842,-64.610088
,star,1.5269,-12.258175
,star,1.527057,-61.249324
,star,1.527502,-45.575712
,star,1.527539,-19.032159
,star,1.528523,10.889417
,star,1.52868,-30.283081
,star,1.529021,22.741244
,star,1.529121,15.094072
,star,1.52927,-52.920878
,star,1.529603,36.093885
,star,1.529629,30.624763
,star,1.529872,-4.95909
,star,1.529931,-10.257328
,star,1.530142,50.89733
,star,1.530508,61.377184
,star,1.530646,-78.06935
,star,1.531185,-76.913906
,star,1.531366,-30.16077
,star,1.531452,9.988244
,star,1.531536,-27.703135
,star,1.531535,46.39984
,star,1.531905,16.046958
,star,1.53215,-17.701405
,star,1.532488,-50.568619
,star,1.532846,-34.498872
,star,1.53296,52.469788
,star,1.533404,62.329022
,star,1.533583,-6.718708
,star,1.533795,57.194638
,star,1.534105,-71.421846
,star,1.534201,16.94723
,star,1.534843,-2.723744
,star,1.534857,54.018962
,star,1.53533,-67.299973
,star,1.535438,34.799962
,star,1.535449,-23.64847
,star,1.535604,1.341731
,star,1.536054,-17.532068
,star,1.536732,-39.098029
,star,1.536862,-14.4924
,star,1.536929,32.542081
,star,1.537116,-51.903971
,star,1.53717,60.453334
,star,1.537483,3.685154
,star,1.537653,38.271935
,star,1.537841,-18.566175
,star,1.537901,-20.704505
,star,1.538481,1.572042
,star,1.538657,-26.552573
,star,1.538839,-30.680954
,star,1.539011,-26.55105
,star,1.539171,-41.505939
,star,1.539312,-19.606829
,star,1.540093,68.408918
,star,1.54016,-37.284569
,star,1.540299,-9.503214
,star,1.540633,-26.526159
,star,1.540619,-21.905126
,star,1.540877,54.483322
,star,1.541303,14.285413
,star,1.541446,63.8216
,star,1.541542,-29.726602
,star,1.541646,67.961186
,star,1.541812,-46.132924
,star,1.541934,-62.843824
,star,1.541978,-10.297517
,star,1.542086,50.824177
,star,1.542115,-28.368572
,star,1.542124,-15.450914
,star,1.54237,70.019421
,star,1.542468,-49.528137
,star,1.542573,11.882579
,star,1.542582,-48.645425
,star,1.54289,-12.852672
,star,1.543315,-54.742348
,star,1.543406,-18.976727
,star,1.543438,-49.727713
,star,1.543877,-16.148362
,star,1.544132,-48.61105
,star,1.545341,63.593803
,star,1.545366,61.86134
,star,1.54547,-22.414174
,star,1.545545,-44.739042
,star,1.545689,3.032355
,star,1.545865,-41.255647
,star,1.546125,13.161346
,star,1.546319,-41.255203
,star,1.546362,-36.391343
,star,1.546586,35.842678
,star,1.54689,-16.388213
,star,1.547219,44.001472
,star,1.547353,45.625455
,star,1.547355,38.121396
,star,1.547391,19.887943
,star,1.547514,-47.263667
,star,1.547751,-21.088168
,star,1.547846,-8.149395
,star,1.547993,4.774471
,star,1.548132,-52.615561
,star,1.548309,-17.611712
