name,type,ra,dec
NGC246,Planetary nebula,0h 47m,-11° 53'
NGC247,Spiral galaxy,0h 47.1m,-20° 46'
NGC253,Spiral galaxy,0h 47.6m,-25° 17'
NGC278,Elliptical galaxy,0h 52.1m,47° 33'
NGC281,Diffuse nebula,0h 52.8m,56° 36'
NGC288,Globular cluster,0h 52.8m,-26° 35'
NGC300,Spiral galaxy,0h 54.9m,-37° 41'
NGC404,Elliptical galaxy,1h 9.4m,35° 43'
NGC457,Open cluster,1h 19.1m,58° 20'
NGC488,Spiral galaxy,1h 21.8m,5° 15'
NGC524,Elliptical galaxy,1h 24.8m,9° 32'
NGC581,Open cluster,1h 33.2m,60° 42'
NGC584,Elliptical galaxy,1h 31.3m,-6° 52'
NGC596,Elliptical galaxy,1h 32.9m,-7° 2'
NGC598,Spiral galaxy,1h 33.9m,30° 39'
NGC613,Spiral galaxy,1h 34.3m,-29° 25'
NGC628,Spiral galaxy,1h 36.7m,15° 47'
NGC650,Planetary nebula,1h 42.4m,51° 34'
NGC654,Open cluster,1h 44.1m,61° 53'
NGC659,Open cluster,1h 44.2m,60° 42'
NGC663,Open cluster,1h 46m,61° 15'
NGC672,Spiral galaxy,1h 47.9m,27° 26'
NGC720,Elliptical galaxy,1h 53m,-13° 44'
NGC752,Open cluster,1h 57.8m,37° 41'
NGC772,Spiral galaxy,1h 59.3m,19° 1'
NGC779,Spiral galaxy,1h 59.7m,-5° 58'
NGC821,Elliptical galaxy,2h 8.4m,11° 0'
NGC869,Open cluster,2h 19m,57° 9'
NGC884,Open cluster,2h 22.4m,57° 7'
NGC891,Spiral galaxy,2h 22.6m,42° 21'
NGC925,Spiral galaxy,2h 27.3m,33° 35'
NGC936,Spiral galaxy,2h 27.6m,-1° 9'
NGC1022,Spiral galaxy,2h 38.5m,-6° 40'
NGC1023,Elliptical galaxy,2h 40.4m,39° 4'
NGC1039,Open cluster,2h 42m,42° 47'
NGC1052,Elliptical galaxy,2h 41.1m,-8° 15'
NGC1068,Spiral galaxy,2h 42.7m,0° 1'
NGC1084,Spiral galaxy,2h 46m,-7° 35'
NGC1087,Spiral galaxy,2h 46.4m,0° 30'
NGC1097,Spiral galaxy,2h 46.3m,-30° 17'
NGC1232,Spiral galaxy,3h 9.8m,-20° 35'
NGC1245,Open cluster,3h 14.7m,47° 15'
NGC1261,Globular cluster,3h 12.3m,-55° 13'
NGC1316,Spiral galaxy,3h 22.7m,-37° 12'
NGC1332,Elliptical galaxy,3h 26.3m,-21° 20'
NGC1342,Open cluster,3h 31.6m,37° 20'
NGC1365,Spiral galaxy,3h 33.6m,-36° 8'
NGC1395,Elliptical galaxy,3h 38.5m,-23° 2'
NGC1398,Spiral galaxy,3h 38.9m,-26° 20'
NGC1399,Elliptical galaxy,3h 38.5m,-35° 27'
NGC1407,Elliptical galaxy,3h 40.2m,-18° 35'
NGC1499,Diffuse nebula,4h 0.7m,36° 37'
NGC1501,Planetary nebula,4h 7m,60° 55'
NGC1502,Open cluster,4h 7.7m,62° 20'
NGC1514,Planetary nebula,4h 9.2m,30° 47'
NGC1528,Open cluster,4h 15.4m,51° 14'
NGC1532,Spiral galaxy,4h 12.1m,-32° 52'
NGC1535,Planetary nebula,4h 14.2m,-12° 44'
NGC1545,Open cluster,4h 20.9m,50° 15'
NGC1554,Diffuse nebula,4h 21.8m,19° 32'
NGC1555,Diffuse nebula,4h 21.8m,19° 32'
NGC1647,Open cluster,4h 46m,19° 4'
NGC1664,Open cluster,4h 51.1m,43° 42'
NGC1700,Elliptical galaxy,4h 56.9m,-4° 52'
NGC1746,Open cluster,5h 3.6m,23° 49'
NGC1792,Spiral galaxy,5h 5.2m,-37° 59'
NGC1817,Open cluster,5h 12.1m,16° 42'
NGC1851,Globular cluster,5h 14.1m,-40° 3'
NGC1857,Open cluster,5h 20.2m,39° 21'
NGC1893,Open cluster,5h 22.7m,33° 24'
NGC1904,Globular cluster,5h 24.5m,-24° 33'
NGC1907,Open cluster,5h 28m,35° 19'
NGC1912,Open cluster,5h 28.7m,35° 50'
NGC1952,Planetary nebula,5h 34.5m,22° 1'
NGC1960,Open cluster,5h 36.1m,34° 8'
NGC1976,Diffuse nebula,5h 35.4m,-5° 27'
NGC1977,Diffuse nebula,5h 35.5m,-4° 52'
NGC1982,Diffuse nebula,5h 35.6m,-5° 16'
NGC1990,Diffuse nebula,5h 36.2m,-1° 12'
NGC2023,Diffuse nebula,5h 41.6m,-2° 14'
NGC2024,Diffuse nebula,5h 40.7m,-2° 27'
NGC2064,Diffuse nebula,5h 46.3m,0° 0'
NGC2068,Diffuse nebula,5h 46.7m,0° 3'
NGC2099,Open cluster,5h 52.4m,32° 33'
NGC2112,Open cluster,5h 53.9m,0° 24'
NGC2141,Open cluster,6h 3.1m,10° 26'
NGC2158,Open cluster,6h 7.5m,24° 6'
NGC2168,Open cluster,6h 8.9m,24° 20'
NGC2169,Open cluster,6h 8.4m,13° 57'
NGC2174,Diffuse nebula,6h 9.7m,20° 30'
NGC2175,Open cluster,6h 9.8m,20° 19'
NGC2194,Open cluster,6h 13.8m,12° 48'
NGC2215,Open cluster,6h 21m,-7° 17'
NGC2237,Diffuse nebula,6h 32.3m,5° 3'
NGC2244,Open cluster,6h 32.4m,4° 52'
NGC2261,Diffuse nebula,6h 39.2m,8° 44'
NGC2264,Diffuse nebula,6h 40.9m,9° 54'
NGC2264,Open cluster,6h 41.1m,9° 53'
NGC2266,Open cluster,6h 43.2m,26° 58'
NGC2281,Open cluster,6h 49.3m,41° 4'
NGC2286,Open cluster,6h 47.6m,-3° 10'
NGC2287,Open cluster,6h 47m,-20° 44'
NGC2298,Globular cluster,6h 49m,-36° 0'
NGC2301,Open cluster,6h 51.8m,0° 28'
NGC2323,Open cluster,7h 3.2m,-8° 20'
NGC2324,Open cluster,7h 4.2m,1° 3'
NGC2335,Open cluster,7h 6.6m,-10° 5'
NGC2353,Open cluster,7h 14.6m,-10° 18'
NGC2354,Open cluster,7h 14.3m,-25° 44'
NGC2360,Open cluster,7h 17.8m,-15° 37'
NGC2362,Open cluster,7h 18.8m,-24° 57'
NGC2371,Planetary nebula,7h 25.6m,29° 29'
NGC2392,Planetary nebula,7h 29.2m,20° 55'
NGC2395,Open cluster,7h 27.1m,13° 35'
NGC2403,Spiral galaxy,7h 36.9m,65° 36'
NGC2419,Globular cluster,7h 38.1m,38° 53'
NGC2420,Open cluster,7h 38.5m,21° 34'
NGC2421,Open cluster,7h 36.3m,-20° 37'
NGC2422,Open cluster,7h 36.6m,-14° 30'
NGC2423,Open cluster,7h 37.1m,13° 52'
NGC2437,Open cluster,7h 41.8m,-14° 49'
NGC2438,Planetary nebula,7h 41.8m,-14° 44'
NGC2439,Open cluster,7h 40.8m,-31° 39'
NGC2447,Open cluster,7h 44.6m,-23° 52'
NGC2451,Open cluster,7h 45.4m,-37° 58'
NGC2467,Diffuse nebula,7h 52.5m,-26° 24'
NGC2477,Open cluster,7h 52.3m,-38° 33'
NGC2482,Open cluster,7h 54.9m,-24° 18'
NGC2489,Open cluster,7h 56.2m,-30° 4'
NGC2506,Open cluster,8h 0.2m,-10° 47'
NGC2509,Open cluster,8h 0.7m,-19° 4'
NGC2516,Open cluster,7h 58.3m,-60° 52'
NGC2539,Open cluster,8h 10.7m,-12° 50'
NGC2547,Open cluster,8h 10.7m,-49° 16'
NGC2548,Open cluster,8h 13.8m,-5° 48'
NGC2567,Open cluster,8h 18.6m,-30° 38'
NGC2571,Open cluster,8h 18.9m,-29° 44'
NGC2587,Open cluster,8h 23.5m,-29° 30'
NGC2610,Planetary nebula,8h 33.4m,-16° 9'
NGC2613,Spiral galaxy,8h 33.4m,-22° 58'
NGC2627,Open cluster,8h 37.3m,-29° 57'
NGC2632,Open cluster,8h 40.1m,19° 59'
NGC2655,Spiral galaxy,8h 55.6m,78° 13'
NGC2658,Open cluster,8h 43.4m,-32° 39'
NGC2681,Spiral galaxy,8h 53.5m,51° 19'
NGC2682,Open cluster,8h 50.4m,11° 49'
NGC2683,Spiral galaxy,8h 52.7m,33° 25'
NGC2742,Spiral galaxy,9h 7.6m,60° 29'
NGC2768,Elliptical galaxy,9h 11.6m,60° 2'
NGC2775,Spiral galaxy,9h 10.3m,7° 2'
NGC2787,Spiral galaxy,9h 19.3m,69° 12'
NGC2808,Globular cluster,9h 12m,-64° 52'
NGC2841,Spiral galaxy,9h 22m,50° 58'
NGC2859,Spiral galaxy,9h 24.3m,34° 31'
NGC2903,Spiral galaxy,9h 32.2m,21° 30'
NGC2950,Spiral galaxy,9h 42.6m,58° 51'
NGC2964,Spiral galaxy,9h 42.9m,31° 51'
NGC2976,Spiral galaxy,9h 47.3m,67° 55'
NGC2985,Spiral galaxy,9h 50.4m,72° 17'
NGC2997,Spiral galaxy,9h 45.6m,-31° 11'
NGC3003,Spiral galaxy,9h 48.6m,33° 25'
NGC3021,Spiral galaxy,9h 51m,33° 33'
NGC3031,Spiral galaxy,9h 55.6m,69° 4'
NGC3034,Irregular galaxy,9h 55.8m,69° 41'
NGC3077,Elliptical galaxy,10h 3.3m,68° 44'
NGC3079,Spiral galaxy,10h 2m,55° 41'
NGC3115,Elliptical galaxy,10h 5.2m,-7° 43'
NGC3132,Planetary nebula,10h 7.7m,-40° 26'
NGC3147,Spiral galaxy,10h 16.9m,73° 24'
NGC3184,Spiral galaxy,10h 18.3m,41° 25'
NGC3201,Globular cluster,10h 17.6m,-46° 25'
NGC3242,Planetary nebula,10h 24.8m,-18° 38'
NGC3310,Spiral galaxy,10h 38.7m,53° 30'
NGC3344,Spiral galaxy,10h 43.5m,24° 55'
NGC3351,Spiral galaxy,10h 44m,11° 42'
NGC3368,Spiral galaxy,10h 46.8m,11° 49'
NGC3372,Diffuse nebula,10h 43.8m,-59° 52'
NGC3377,Elliptical galaxy,10h 47.7m,13° 59'
NGC3379,Elliptical galaxy,10h 47.8m,12° 35'
NGC3384,Elliptical galaxy,10h 48.3m,12° 38'
NGC3389,Spiral galaxy,10h 48.5m,12° 32'
NGC3412,Elliptical galaxy,10h 50.9m,13° 25'
NGC3486,Spiral galaxy,11h 0.4m,28° 58'
NGC3504,Spiral galaxy,11h 3.2m,27° 58'
NGC3511,Spiral galaxy,11h 3.4m,-23° 5'
NGC3521,Spiral galaxy,11h 5.8m,0° 2'
NGC3532,Open cluster,11h 6.4m,-58° 40'
NGC3556,Spiral galaxy,11h 11.5m,55° 40'
NGC3585,Elliptical galaxy,11h 13.3m,-26° 45'
NGC3587,Planetary nebula,11h 14.8m,55° 1'
NGC3607,Elliptical galaxy,11h 16.9m,18° 3'
NGC3621,Spiral galaxy,11h 18.3m,-32° 49'
NGC3623,Spiral galaxy,11h 18.9m,13° 5'
NGC3626,Spiral galaxy,11h 20.1m,18° 21'
NGC3627,Spiral galaxy,11h 20.2m,12° 59'
NGC3628,Spiral galaxy,11h 20.3m,13° 36'
NGC3631,Spiral galaxy,11h 21m,53° 10'
NGC3646,Spiral galaxy,11h 21.7m,20° 10'
NGC3675,Spiral galaxy,11h 26.1m,43° 35'
NGC3718,Spiral galaxy,11h 32.6m,53° 4'
NGC3726,Spiral galaxy,11h 33.3m,47° 2'
NGC3729,Spiral galaxy,11h 33.8m,53° 8'
NGC3810,Spiral galaxy,11h 41m,11° 28'
NGC3877,Spiral galaxy,11h 46.1m,47° 30'
NGC3893,Spiral galaxy,11h 48.6m,48° 43'
NGC3923,Elliptical galaxy,11h 51m,-28° 48'
NGC3941,Elliptical galaxy,11h 52.9m,36° 59'
NGC3945,Spiral galaxy,11h 53.2m,60° 41'
NGC3949,Spiral galaxy,11h 53.7m,47° 52'
NGC3953,Spiral galaxy,11h 53.8m,52° 20'
NGC3962,Elliptical galaxy,11h 54.7m,-13° 58'
NGC3992,Spiral galaxy,11h 57.6m,53° 23'
NGC4026,Elliptical galaxy,11h 59.4m,50° 58'
NGC4030,Spiral galaxy,12h 0.4m,-1° 6'
NGC4036,Elliptical galaxy,12h 1.4m,61° 54'
NGC4038,Spiral galaxy,12h 1.9m,-18° 52'
NGC4041,Spiral galaxy,12h 2.2m,62° 8'
NGC4051,Spiral galaxy,12h 3.2m,44° 32'
NGC4088,Spiral galaxy,12h 5.6m,50° 33'
NGC4105,Elliptical galaxy,12h 6.7m,-29° 46'
NGC4111,Elliptical galaxy,12h 7.1m,43° 4'
NGC4125,Elliptical galaxy,12h 8.1m,65° 11'
NGC4143,Elliptical galaxy,12h 9.6m,42° 32'
NGC4192,Spiral galaxy,12h 13.8m,14° 54'
NGC4214,Irregular galaxy,12h 15.6m,36° 20'
NGC4216,Spiral galaxy,12h 15.9m,13° 9'
NGC4236,Spiral galaxy,12h 16.7m,69° 28'
NGC4244,Spiral galaxy,12h 17.5m,37° 49'
NGC4251,Spiral galaxy,12h 18.1m,28° 10'
NGC4254,Spiral galaxy,12h 18.8m,14° 25'
NGC4258,Spiral galaxy,12h 19m,47° 18'
NGC4261,Elliptical galaxy,12h 19.4m,5° 49'
NGC4274,Spiral galaxy,12h 19.8m,29° 37'
NGC4278,Elliptical galaxy,12h 20.1m,29° 17'
NGC4303,Spiral galaxy,12h 21.9m,4° 28'
NGC4314,Spiral galaxy,12h 22.6m,29° 53'
NGC4321,Spiral galaxy,12h 22.9m,15° 49'
NGC4361,Planetary nebula,12h 24.5m,-18° 48'
NGC4365,Elliptical galaxy,12h 24.5m,7° 19'
NGC4374,Elliptical galaxy,12h 25.1m,12° 53'
NGC4382,Elliptical galaxy,12h 25.4m,18° 11'
NGC4395,Spiral galaxy,12h 25.8m,33° 33'
NGC4406,Elliptical galaxy,12h 26.2m,12° 57'
NGC4414,Spiral galaxy,12h 26.4m,31° 13'
NGC4429,Spiral galaxy,12h 27.4m,11° 7'
NGC4435,Elliptical galaxy,12h 27.7m,13° 5'
NGC4438,Spiral galaxy,12h 27.8m,13° 1'
NGC4449,Irregular galaxy,12h 28.2m,44° 6'
NGC4450,Spiral galaxy,12h 28.5m,17° 5'
NGC4459,Elliptical galaxy,12h 29m,13° 59'
NGC4472,Elliptical galaxy,12h 29.8m,8° 0'
NGC4473,Elliptical galaxy,12h 29.8m,13° 26'
NGC4477,Spiral galaxy,12h 30m,13° 38'
NGC4486,Elliptical galaxy,12h 30.8m,12° 24'
NGC4490,Spiral galaxy,12h 30.6m,41° 38'
NGC4494,Elliptical galaxy,12h 31.4m,25° 47'
NGC4501,Spiral galaxy,12h 32m,14° 25'
NGC4526,Elliptical galaxy,12h 34m,7° 42'
NGC4535,Spiral galaxy,12h 34.3m,8° 12'
NGC4536,Spiral galaxy,12h 34.5m,2° 11'
NGC4546,Elliptical galaxy,12h 35.5m,-3° 48'
NGC4548,Spiral galaxy,12h 35.4m,14° 30'
NGC4552,Elliptical galaxy,12h 35.7m,12° 33'
NGC4565,Spiral galaxy,12h 36.3m,25° 59'
NGC4569,Spiral galaxy,12h 36.8m,13° 10'
NGC4579,Spiral galaxy,12h 37.7m,11° 49'
NGC4590,Globular cluster,12h 39.5m,-26° 45'
NGC4594,Spiral galaxy,12h 40m,-11° 37'
NGC4621,Elliptical galaxy,12h 42m,11° 39'
NGC4631,Spiral galaxy,12h 42.1m,32° 32'
NGC4636,Elliptical galaxy,12h 42.8m,2° 41'
NGC4643,Spiral galaxy,12h 43.3m,1° 59'
NGC4649,Elliptical galaxy,12h 43.7m,11° 33'
NGC4656,Spiral galaxy,12h 44m,32° 10'
NGC4660,Elliptical galaxy,12h 44.5m,11° 11'
NGC4666,Spiral galaxy,12h 45.1m,0° 28'
NGC4697,Elliptical galaxy,12h 48.6m,-5° 48'
NGC4699,Spiral galaxy,12h 49m,-8° 40'
NGC4725,Spiral galaxy,12h 50.4m,25° 30'
NGC4736,Spiral galaxy,12h 50.9m,41° 7'
NGC4753,Irregular galaxy,12h 52.4m,-1° 12'
NGC4754,Spiral galaxy,12h 52.3m,11° 19'
NGC4762,Spiral galaxy,12h 52.9m,11° 14'
NGC4775,Spiral galaxy,12h 53.8m,-6° 37'
NGC4781,Spiral galaxy,12h 54.4m,-10° 32'
NGC4800,Spiral galaxy,12h 54.6m,46° 32'
NGC4826,Spiral galaxy,12h 56.7m,21° 41'
NGC4856,Spiral galaxy,12h 59.3m,-15° 2'
NGC4900,Spiral galaxy,13h 0.6m,2° 30'
NGC4945,Spiral galaxy,13h 5.4m,-49° 28'
NGC4958,Elliptical galaxy,13h 5.8m,-8° 1'
NGC4995,Spiral galaxy,13h 9.7m,-7° 50'
NGC5005,Spiral galaxy,13h 10.9m,37° 3'
NGC5024,Globular cluster,13h 12.9m,18° 10'
NGC5033,Spiral galaxy,13h 13.4m,36° 36'
NGC5044,Elliptical galaxy,13h 15.4m,-16° 23'
NGC5053,Globular cluster,13h 16.4m,17° 42'
NGC5055,Spiral galaxy,13h 15.8m,42° 2'
NGC5068,Spiral galaxy,13h 18.9m,-21° 2'
NGC5102,Spiral galaxy,13h 22m,-36° 38'
